"Rapsodo MLM2PRO: Anonymized Session - 01/27/2026 4:30 PM",,,,,,,,,,,,,,,,,

"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"156.4","163.0","108.4","20.1","-2.7","87.1","-11.5","83.5","1.30","45.8","0.6","-0.7",0,"4987","-4.1"
"7i",,,"152.1","157.5","106.6","24.7","-0.5","104.2","-10.1","82.4","1.29","50.3","1.5","1.2",0,"4669","-8.0"
"7i",,,"133.5","142.2","94.5","21.6","-2.0","67.3","-8.2","84.0","1.12","41.2","1.0","0.7",0,"4056","-4.8"
"7i",,,"160.8","168.5","109.8","21.1","-3.4","93.2","-21.0","81.8","1.34","46.5","-1.4","-0.3",0,"4352","-9.7"
"7i",,,"135.7","136.8","95.6","19.6","-6.4","54.1","-32.3","81.2","1.18","35.3","0.8","0.4",0,"3276","-25.8"
"7i",,,"136.8","142.2","98.4","24.7","-0.0","86.6","10.4","80.1","1.23","47.8","0.9","-3.0",0,"5064","10.0"
"7i",,,"155.3","161.9","106.9","22.9","-2.8","97.2","-8.0","80.1","1.33","48.2","-0.6","-3.3",0,"4479","-0.8"
"7i",,,"161.9","169.6","108.8","20.5","-3.7","87.8","-19.6","81.2","1.34","44.7","-1.0","-2.0",0,"4078","-8.3"
"7i",,,"159.7","165.2","109.7","22.1","-2.1","99.3","-3.4","81.8","1.34","48.5","-1.8","-2.7",0,"4783","1.2"
"7i",,,"145.5","155.3","100.1","20.9","-5.6","72.8","-15.9","81.2","1.23","41.1","1.2","-4.1",0,"3664","-2.4"
"7i",,,"161.9","165.2","108.7","20.9","-7.5","84.6","-43.9","82.9","1.31","44.0","1.8","-0.7",0,"3834","-21.1"
"7i",,,"163.0","169.6","110.0","20.7","-0.6","92.1","-12.7","82.4","1.34","46.0","0.9","3.2",0,"4305","-9.2"
"7i",,,"155.3","160.8","107.9","20.4","-1.8","87.6","-7.7","85.1","1.27","46.0","-0.8","0.6",0,"5014","-3.0"
"7i",,,"155.3","157.5","106.5","16.7","-9.3","64.5","-41.7","82.4","1.29","38.8","1.2","-0.9",0,"4425","-17.3"
"7i",,,"145.5","148.8","105.2","26.6","5.6","109.8","20.8","82.4","1.28","52.5","1.6","2.5",0,"5430","5.2"
"7i",,,"138.9","148.8","98.3","17.8","-2.1","58.2","1.7","83.5","1.18","36.9","-0.7","-0.6",0,"4092","6.8"
"7i",,,"157.5","161.9","109.3","23.3","-1.3","104.0","-1.7","83.5","1.31","49.8","-0.2","0.4",0,"4886","0.8"
"7i",,,"147.7","152.1","106.5","26.0","3.0","109.7","17.3","82.9","1.28","52.2","-0.7","-1.0",0,"5399","7.5"
"7i",,,"163.0","168.5","111.2","21.8","-2.6","100.3","-14.3","82.9","1.34","48.3","-0.7","-0.2",0,"4557","-5.8"
"7i",,,"143.3","149.9","100.4","21.3","-2.0","77.4","1.1","81.8","1.23","44.1","-0.7","-2.2",0,"4709","5.3"
"7i",,,"158.6","165.2","109.4","20.9","-1.4","93.0","-1.0","82.4","1.33","47.0","-1.8","-2.4",0,"4856","1.7"
"7i",,,"152.1","158.6","104.2","22.5","-1.7","89.6","-7.0","80.1","1.30","46.3","1.3","1.1",0,"4250","-2.9"
"7i",,,"146.6","151.0","104.8","23.4","-0.5","95.3","3.1","82.9","1.26","49.1","-1.0","-1.5",0,"5652","3.3"
"7i",,,"151.0","158.6","105.5","21.0","-2.4","86.0","-2.9","82.9","1.27","45.8","-0.2","-0.2",0,"4905","2.4"
"7i",,,"142.2","147.7","99.8","23.3","0.3","84.7","1.6","79.0","1.26","46.3","-0.4","0.3",0,"4562","0.1"
"7i",,,"152.1","157.5","104.7","23.1","-2.7","92.8","-16.9","82.4","1.27","47.4","2.6","0.6",0,"4353","-9.3"
"7i",,,"159.7","167.4","109.9","20.3","-0.6","90.5","-7.6","82.9","1.33","46.0","-1.5","1.2",0,"4651","-5.3"
"7i",,,"160.8","165.2","111.7","22.9","-2.7","107.3","-11.8","85.1","1.31","50.3","-0.3","-1.1",0,"4976","-3.7"
"7i",,,"158.6","167.4","109.4","19.2","-4.3","81.0","-31.2","82.9","1.32","43.4","-0.4","2.7",0,"4293","-16.8"
"7i",,,"163.0","169.6","109.8","21.4","-2.5","95.2","-13.7","80.7","1.36","46.8","-1.1","-0.0",0,"4268","-5.8"
"7i",,,"161.9","167.4","110.8","23.4","-3.2","107.2","-17.4","82.4","1.35","49.9","0.4","0.5",0,"4435","-7.0"
"7i",,,"161.9","167.4","112.0","23.4","-1.1","109.8","-11.6","83.5","1.34","50.6","0.9","1.9",0,"4748","-6.8"
"7i",,,"147.7","154.3","104.4","24.0","0.4","97.0","2.3","84.0","1.24","49.0","1.6","0.2",0,"4851","0.5"
"7i",,,"135.7","145.5","95.6","21.7","-2.6","68.9","-7.7","82.9","1.15","41.1","0.1","-1.4",0,"3846","-2.5"
"7i",,,"154.3","157.5","110.1","25.5","3.2","115.6","17.5","83.5","1.32","52.8","-0.2","0.4",0,"5319","6.3"
"7i",,,"149.9","155.3","106.6","23.5","0.3","98.8","9.1","82.9","1.29","49.6","-0.3","-2.0",0,"5382","6.4"
"7i",,,"156.4","156.4","104.3","20.1","-6.1","73.7","-33.1","82.4","1.27","40.9","0.3","-0.7",0,"3650","-17.4"
"7i",,,"155.3","159.7","107.5","22.8","2.4","97.7","2.0","82.4","1.31","48.5","2.2","2.5",0,"4785","-4.3"
"7i",,,"156.4","161.9","109.9","22.2","-1.2","99.7","4.1","83.5","1.32","49.0","-0.9","-1.3",0,"5170","5.2"
"7i",,,"147.7","158.6","106.6","14.0","0.8","54.1","13.4","84.0","1.27","34.8","-0.3","-1.5",0,"4792","10.2"
"7i",,,"134.6","143.3","96.9","20.1","-1.2","66.3","2.1","81.8","1.18","41.1","-3.6","-2.4",0,"4776","4.7"
"7i",,,"142.2","152.1","99.7","20.3","-4.0","70.3","-18.0","81.8","1.22","41.1","0.6","0.6",0,"4039","-9.1"
"7i",,,"146.6","153.2","102.2","23.1","0.1","88.4","5.1","80.1","1.28","46.8","-0.8","-1.1",0,"4454","3.7"
"7i",,,"144.4","153.2","99.7","21.5","-1.5","76.0","-5.5","80.7","1.24","42.8","-0.7","0.4",0,"4003","-2.3"
"7i",,,"153.2","158.6","107.1","22.9","1.4","97.7","4.6","80.1","1.34","48.7","-0.6","0.5",0,"4920","-0.0"
"7i",,,"163.0","169.6","110.6","20.6","-1.3","92.4","-13.8","81.2","1.36","46.2","0.9","1.6",0,"4410","-8.5"
"7i",,,"147.7","155.3","105.9","16.5","0.6","65.4","13.0","84.0","1.26","39.9","-3.9","-2.2",0,"5467","9.9"
"7i",,,"144.4","155.3","102.4","15.7","-3.4","55.6","-14.8","80.1","1.28","35.4","0.9","1.4",0,"4280","-7.2"
"7i",,,"156.4","163.0","106.9","21.3","-1.2","89.5","-9.9","79.6","1.34","46.0","-0.5","0.7",0,"4416","-6.3"
"7i",,,"157.5","161.9","109.3","21.5","0.8","95.5","2.9","83.5","1.31","48.0","-1.0","1.4",0,"5123","-0.1"
"7i",,,"164.1","169.6","112.0","22.6","-1.8","105.8","-13.7","84.0","1.33","49.6","0.2","1.1",0,"4624","-7.0"
"7i",,,"140.0","146.6","99.5","21.4","0.8","76.1","-1.6","82.4","1.21","44.1","-1.4","3.6",0,"4925","-4.2"
"7i",,,"156.4","161.9","109.0","23.5","-0.3","104.6","-2.9","84.0","1.30","50.0","1.1","0.6",0,"4803","-2.2"
"7i",,,"157.5","165.2","108.6","19.8","-2.2","85.6","-11.3","84.0","1.29","45.0","-1.2","-0.9",0,"4704","-4.8"
"7i",,,"157.5","165.2","108.6","19.0","-3.4","81.4","-17.2","81.8","1.33","43.8","-0.8","0.9",0,"4698","-7.0"
"7i",,,"141.1","152.1","99.6","17.4","-5.0","55.6","-21.5","80.7","1.23","35.0","2.1","2.5",0,"3633","-11.4"
"7i",,,"151.0","156.4","103.4","22.6","-0.8","88.7","-6.3","80.7","1.28","46.4","0.3","0.4",0,"4327","-4.5"
"7i",,,"156.4","161.9","107.9","22.2","0.8","95.9","2.0","81.8","1.32","48.0","-1.3","1.0",0,"4815","-0.8"
"7i",,,"149.9","154.3","105.3","23.9","2.8","98.1","11.3","82.4","1.28","49.3","-0.0","1.8",0,"5040","2.8"
"Average",,,"152.0","158.2","105.7","21.5","-1.6","87.5","-6.9","82.3","1.28","45.6","-0.1","-0.0",0,"4598","-3.1"
"Std. Dev.",,,"8.4","8.0","4.6","2.4","2.6","15.5","13.6","1.4","0.05","4.4","1.3","1.7",0,"497","7.5"